study_word,test_word,Reference,old_new,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,thisRow.t,notes,trial.started,text.started,slider.started,trial.stopped,slider.response,slider.rt,test.started,text_2.started,textbox.started,text_3.started,mouse.started,test.stopped,textbox.text,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,participant,session,date,expName,psychopyVersion,frameRate,expStart,
Cruise,,,,0,0,0,11,,,,,0.17360620002727956,,0.046161499980371445,0.17360620002727956,0.17360620002727956,4.558625200006645,1.0185185185185186,4.440724799991585,,,,,,,,,,,,,,,527974,001,2024-11-05_14h38.48.524,word priming exp,2024.1.5,None,2024-11-05 14h39.14.370145 +0530,
Chart,,,,0,1,1,6,,,,,4.605089800024871,,4.56242019997444,4.605089800024871,4.605089800024871,7.923713599971961,1.0185185185185186,3.3136331000132486,,,,,,,,,,,,,,,527974,001,2024-11-05_14h38.48.524,word priming exp,2024.1.5,None,2024-11-05 14h39.14.370145 +0530,
Laptop,,,,0,2,2,5,,,,,7.968563499976881,,7.924220899993088,7.968563499976881,7.968563499976881,15.199525900010485,1,7.231527599971741,,,,,,,,,,,,,,,527974,001,2024-11-05_14h38.48.524,word priming exp,2024.1.5,None,2024-11-05 14h39.14.370145 +0530,
T-shirt,,,,0,3,3,7,,,,,15.247669200005475,,15.200068200007081,15.247669200005475,15.247669200005475,17.618461399979424,1,2.3708247000467964,,,,,,,,,,,,,,,527974,001,2024-11-05_14h38.48.524,word priming exp,2024.1.5,None,2024-11-05 14h39.14.370145 +0530,
mouse,,,,0,4,4,8,,,,,17.656453699979465,,17.619516299979296,17.656453699979465,17.656453699979465,18.393835099996068,1,0.7366760000004433,,,,,,,,,,,,,,,527974,001,2024-11-05_14h38.48.524,word priming exp,2024.1.5,None,2024-11-05 14h39.14.370145 +0530,
Pastry,,,,0,5,5,9,,,,,18.438654300000053,,18.394322599982843,18.438654300000053,18.438654300000053,19.224347200011835,1,0.7833586999913678,,,,,,,,,,,,,,,527974,001,2024-11-05_14h38.48.524,word priming exp,2024.1.5,None,2024-11-05 14h39.14.370145 +0530,
Keys,,,,0,6,6,13,,,,,19.26663839997491,,19.224821600015275,19.26663839997491,19.26663839997491,19.8827768000192,1,0.614601599983871,,,,,,,,,,,,,,,527974,001,2024-11-05_14h38.48.524,word priming exp,2024.1.5,None,2024-11-05 14h39.14.370145 +0530,
phone,,,,0,7,7,2,,,,,19.924603799998295,,19.883661400002893,19.924603799998295,19.924603799998295,20.47357380000176,1,0.5467624999582767,,,,,,,,,,,,,,,527974,001,2024-11-05_14h38.48.524,word priming exp,2024.1.5,None,2024-11-05 14h39.14.370145 +0530,
book,,,,0,8,8,0,,,,,20.512744800013024,,20.474059299973305,20.512744800013024,20.512744800013024,21.031261699972674,1,0.5186043999856338,,,,,,,,,,,,,,,527974,001,2024-11-05_14h38.48.524,word priming exp,2024.1.5,None,2024-11-05 14h39.14.370145 +0530,
marble,,,,0,9,9,3,,,,,21.071616899978835,,21.031795700022485,21.071616899978835,21.071616899978835,21.531913699989673,1,0.4607436000369489,,,,,,,,,,,,,,,527974,001,2024-11-05_14h38.48.524,word priming exp,2024.1.5,None,2024-11-05 14h39.14.370145 +0530,
cushion,,,,0,10,10,1,,,,,21.57388229999924,,21.532426899997517,21.57388229999924,21.57388229999924,22.173585499986075,1,0.6001598000293598,,,,,,,,,,,,,,,527974,001,2024-11-05_14h38.48.524,word priming exp,2024.1.5,None,2024-11-05 14h39.14.370145 +0530,
board,,,,0,11,11,4,,,,,22.215992700017523,,22.17406629998004,22.215992700017523,22.215992700017523,22.754578299995046,1,0.5344306000042707,,,,,,,,,,,,,,,527974,001,2024-11-05_14h38.48.524,word priming exp,2024.1.5,None,2024-11-05 14h39.14.370145 +0530,
Case,,,,0,12,12,10,,,,,22.792775899986736,,22.755071999970824,22.792775899986736,22.792775899986736,23.304887900012545,1,0.5094018999952823,,,,,,,,,,,,,,,527974,001,2024-11-05_14h38.48.524,word priming exp,2024.1.5,None,2024-11-05 14h39.14.370145 +0530,
Poster,,,,0,13,13,14,,,,,23.344626199977938,,23.305409500026144,23.344626199977938,23.344626199977938,23.831981100025587,1,0.4867175000254065,,,,,,,,,,,,,,,527974,001,2024-11-05_14h38.48.524,word priming exp,2024.1.5,None,2024-11-05 14h39.14.370145 +0530,
Police,,,,0,14,14,12,,,,,23.87176220002584,,23.833051400026307,23.87176220002584,23.87176220002584,24.70812590001151,1,0.8346609000000171,,,,,,,,,,,,,,,527974,001,2024-11-05_14h38.48.524,word priming exp,2024.1.5,None,2024-11-05 14h39.14.370145 +0530,
,P_st_r,Poster,old,,,,,0,0,0,9,24.761465899995528,,,,,,,,24.722111199982464,24.761465899995528,24.761465899995528,24.761465899995528,0.03189320000819862,34.72498539998196,"pastry
","[-0.5009259259259259, -0.3824074074074074, -0.3824074074074074, -0.3824074074074074, -0.028703703703703703, -0.027777777777777776]","[-0.29259259259259257, -0.49907407407407406, -0.49907407407407406, -0.49907407407407406, -0.48518518518518516, -0.4842592592592593]","[1, 1, 1, 1, 1, 1]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0.2745074999984354, 7.0751688000163995, 7.791250100010075, 8.000983299978543, 9.355376499996055, 9.519528699980583]",[],527974,001,2024-11-05_14h38.48.524,word priming exp,2024.1.5,None,2024-11-05 14h39.14.370145 +0530,
,P_s_ry,Pastry,old,,,,,0,1,1,4,34.77658760000486,,,,,,,,34.73084969999036,34.77658760000486,34.77658760000486,34.77658760000486,0.03246189997298643,44.715829299995676,pastry ,[],[],[],[],[],[],[],527974,001,2024-11-05_14h38.48.524,word priming exp,2024.1.5,None,2024-11-05 14h39.14.370145 +0530,
