study_word,test_word,Reference,old_new,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,thisRow.t,notes,trial.started,text.started,slider.started,trial.stopped,slider.response,slider.rt,test.started,text_2.started,textbox.started,text_3.started,mouse.started,test.stopped,textbox.text,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,participant,session,date,expName,psychopyVersion,frameRate,expStart,
Case,,,,0,0,0,10,,,,,0.1508382000029087,,0.07075090002035722,0.1508382000029087,0.1508382000029087,2.1322015000041574,1.174074074074074,2.018039899994619,,,,,,,,,,,,,,,021558,001,2024-11-05_17h54.13.718,word priming exp,2024.1.5,None,2024-11-05 17h54.28.550930 +0530,
Police,,,,0,1,1,12,,,,,2.179456799989566,,2.1362492000334896,2.179456799989566,2.179456799989566,3.273483299999498,1.3074074074074074,1.0931496000266634,,,,,,,,,,,,,,,021558,001,2024-11-05_17h54.13.718,word priming exp,2024.1.5,None,2024-11-05 17h54.28.550930 +0530,
Pastry,,,,0,2,2,9,,,,,3.3166982000111602,,3.274231499992311,3.3166982000111602,3.3166982000111602,4.2987787000020035,1.1444444444444444,0.9791364000411704,,,,,,,,,,,,,,,021558,001,2024-11-05_17h54.13.718,word priming exp,2024.1.5,None,2024-11-05 17h54.28.550930 +0530,
Poster,,,,0,3,3,14,,,,,4.33888759999536,,4.299271600029897,4.33888759999536,4.33888759999536,4.734216500015464,1.1444444444444444,0.39618609996978194,,,,,,,,,,,,,,,021558,001,2024-11-05_17h54.13.718,word priming exp,2024.1.5,None,2024-11-05 17h54.28.550930 +0530,
Laptop,,,,0,4,4,5,,,,,4.7778947000042535,,4.734746200032532,4.7778947000042535,4.7778947000042535,5.92077100003371,1.5296296296296297,1.1423520999960601,,,,,,,,,,,,,,,021558,001,2024-11-05_17h54.13.718,word priming exp,2024.1.5,None,2024-11-05 17h54.28.550930 +0530,
Cruise,,,,0,5,5,11,,,,,5.959981499996502,,5.92130200000247,5.959981499996502,5.959981499996502,7.052603400021326,1.7703703703703704,1.092600499978289,,,,,,,,,,,,,,,021558,001,2024-11-05_17h54.13.718,word priming exp,2024.1.5,None,2024-11-05 17h54.28.550930 +0530,
mouse,,,,0,6,6,8,,,,,7.091938900004607,,7.053081399993971,7.091938900004607,7.091938900004607,8.313474300026428,2.014814814814815,1.2196766000124626,,,,,,,,,,,,,,,021558,001,2024-11-05_17h54.13.718,word priming exp,2024.1.5,None,2024-11-05 17h54.28.550930 +0530,
Keys,,,,0,7,7,13,,,,,8.357036500005051,,8.313969400012866,8.357036500005051,8.357036500005051,9.253314300032798,1.5925925925925926,0.8966488000005484,,,,,,,,,,,,,,,021558,001,2024-11-05_17h54.13.718,word priming exp,2024.1.5,None,2024-11-05 17h54.28.550930 +0530,
book,,,,0,8,8,0,,,,,9.292404400010128,,9.253828699991573,9.292404400010128,9.292404400010128,10.187286900007166,1.4185185185185185,0.8940437000128441,,,,,,,,,,,,,,,021558,001,2024-11-05_17h54.13.718,word priming exp,2024.1.5,None,2024-11-05 17h54.28.550930 +0530,
Chart,,,,0,9,9,6,,,,,10.229846400034148,,10.187793100019917,10.229846400034148,10.229846400034148,11.147713800019119,1.2851851851851852,0.9182211000006646,,,,,,,,,,,,,,,021558,001,2024-11-05_17h54.13.718,word priming exp,2024.1.5,None,2024-11-05 17h54.28.550930 +0530,
phone,,,,0,10,10,2,,,,,11.189123500022106,,11.148205500037875,11.189123500022106,11.189123500022106,12.121513699996285,1.0962962962962963,0.9317801000433974,,,,,,,,,,,,,,,021558,001,2024-11-05_17h54.13.718,word priming exp,2024.1.5,None,2024-11-05 17h54.28.550930 +0530,
board,,,,0,11,11,4,,,,,12.162437900027726,,12.122186199994758,12.162437900027726,12.162437900027726,13.270730199990794,1.1407407407407408,1.1083598000113852,,,,,,,,,,,,,,,021558,001,2024-11-05_17h54.13.718,word priming exp,2024.1.5,None,2024-11-05 17h54.28.550930 +0530,
marble,,,,0,12,12,3,,,,,13.309844400035217,,13.271641700004693,13.309844400035217,13.309844400035217,14.336136300000362,1.2740740740740741,1.0259927000151947,,,,,,,,,,,,,,,021558,001,2024-11-05_17h54.13.718,word priming exp,2024.1.5,None,2024-11-05 17h54.28.550930 +0530,
cushion,,,,0,13,13,1,,,,,14.375741800002288,,14.336631100042723,14.375741800002288,14.375741800002288,14.704791600001045,1.2740740740740741,0.3272811000351794,,,,,,,,,,,,,,,021558,001,2024-11-05_17h54.13.718,word priming exp,2024.1.5,None,2024-11-05 17h54.28.550930 +0530,
T-shirt,,,,0,14,14,7,,,,,14.75129750004271,,14.706995800021105,14.75129750004271,14.75129750004271,15.280030800029635,1.2740740740740741,0.5289683000301011,,,,,,,,,,,,,,,021558,001,2024-11-05_17h54.13.718,word priming exp,2024.1.5,None,2024-11-05 17h54.28.550930 +0530,
