study_word,test_word,Reference,old_new,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,thisRow.t,notes,trial.started,text.started,slider.started,trial.stopped,slider.response,slider.rt,test.started,text_2.started,textbox.started,text_3.started,mouse.started,test.stopped,textbox.text,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,participant,session,date,expName,psychopyVersion,frameRate,expStart,
Pastry,,,,0,0,0,9,,,,,0.15394970000488684,,0.04416540003148839,0.15394970000488684,0.15394970000488684,2.5532643000478856,1.0444444444444445,2.441395799978636,,,,,,,,,,,,,,,471641,001,2024-11-05_13h10.18.592,word priming exp,2024.1.5,None,2024-11-05 13h11.19.956798 +0530,
Cruise,,,,0,1,1,11,,,,,2.599486200022511,,2.5562390999984927,2.599486200022511,2.599486200022511,3.7840581000200473,1.4111111111111112,1.1827537000062875,,,,,,,,,,,,,,,471641,001,2024-11-05_13h10.18.592,word priming exp,2024.1.5,None,2024-11-05 13h11.19.956798 +0530,
Chart,,,,0,2,2,6,,,,,3.8268388000433333,,3.78455959999701,3.8268388000433333,3.8268388000433333,5.395953900006134,1.0925925925925926,1.565809799998533,,,,,,,,,,,,,,,471641,001,2024-11-05_13h10.18.592,word priming exp,2024.1.5,None,2024-11-05 13h11.19.956798 +0530,
Poster,,,,0,3,3,14,,,,,5.435437300009653,,5.3964495999971405,5.435437300009653,5.435437300009653,6.983464599994477,1.8296296296296297,1.5469268999877386,,,,,,,,,,,,,,,471641,001,2024-11-05_13h10.18.592,word priming exp,2024.1.5,None,2024-11-05 13h11.19.956798 +0530,
Police,,,,0,4,4,12,,,,,7.023713400005363,,6.983982800040394,7.023713400005363,7.023713400005363,8.491836400004104,1.0444444444444445,1.466459799965378,,,,,,,,,,,,,,,471641,001,2024-11-05_13h10.18.592,word priming exp,2024.1.5,None,2024-11-05 13h11.19.956798 +0530,
mouse,,,,0,5,5,8,,,,,8.53149870003108,,8.494105200050399,8.53149870003108,8.53149870003108,10.751120100030676,1.1074074074074074,2.2211225999635644,,,,,,,,,,,,,,,471641,001,2024-11-05_13h10.18.592,word priming exp,2024.1.5,None,2024-11-05 13h11.19.956798 +0530,
book,,,,0,6,6,0,,,,,10.791287400003057,,10.751594600034878,10.791287400003057,10.791287400003057,12.43730010004947,1.1074074074074074,1.6458832999924198,,,,,,,,,,,,,,,471641,001,2024-11-05_13h10.18.592,word priming exp,2024.1.5,None,2024-11-05 13h11.19.956798 +0530,
Keys,,,,0,7,7,13,,,,,12.47894840000663,,12.437803700042423,12.47894840000663,12.47894840000663,13.26331010001013,1.1074074074074074,0.7813418000005186,,,,,,,,,,,,,,,471641,001,2024-11-05_13h10.18.592,word priming exp,2024.1.5,None,2024-11-05 13h11.19.956798 +0530,
Case,,,,0,8,8,10,,,,,13.303317300044,,13.26380000001518,13.303317300044,13.303317300044,14.422372100001667,1.2814814814814814,1.1192622000235133,,,,,,,,,,,,,,,471641,001,2024-11-05_13h10.18.592,word priming exp,2024.1.5,None,2024-11-05 13h11.19.956798 +0530,
Laptop,,,,0,9,9,5,,,,,14.46606750000501,,14.423382200009655,14.46606750000501,14.46606750000501,15.45476900000358,1.451851851851852,0.9876319000031799,,,,,,,,,,,,,,,471641,001,2024-11-05_13h10.18.592,word priming exp,2024.1.5,None,2024-11-05 13h11.19.956798 +0530,
