pos,corr_resp,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,thisRow.t,notes,trial.started,fixation.started,line_1.started,line_2.started,line_3.started,line_4.started,fixation.stopped,probe.started,key_resp.started,trial.stopped,key_resp.keys,key_resp.corr,key_resp.rt,key_resp.duration,participant,session,date,expName,psychopyVersion,frameRate,expStart,
-50,x,0,0,0,0,,,,,0.03920320002362132,,0.02286719996482134,0.03920320002362132,1.015923900064081,1.015923900064081,1.015923900064081,1.015923900064081,1.0675359996967018,1.9995162999257445,1.9995162999257445,3.586112499702722,x,1,1.5427260003052652,None,507398,001,2024-10-16_15h03.31.052,motor sequence learning,2024.1.5,None,2024-10-16 15h03.42.046397 +0530,
150,v,0,1,1,1,,,,,3.6129755997098982,,3.594125499948859,3.6129755997098982,4.620146200060844,4.620146200060844,4.620146200060844,4.620146200060844,4.648870599921793,5.599810000043362,5.599810000043362,6.901215499732643,v,1,1.2989032003097236,None,507398,001,2024-10-16_15h03.31.052,motor sequence learning,2024.1.5,None,2024-10-16 15h03.42.046397 +0530,
50,c,0,2,2,2,,,,,6.92122619971633,,6.903720699716359,6.92122619971633,7.910516299773008,7.910516299773008,7.910516299773008,7.910516299773008,7.9264929997734725,8.909059599973261,8.909059599973261,10.177266099955887,c,1,1.2509010001085699,None,507398,001,2024-10-16_15h03.31.052,motor sequence learning,2024.1.5,None,2024-10-16 15h03.42.046397 +0530,
-150,z,0,3,3,3,,,,,10.19791719969362,,10.179548299871385,10.19791719969362,11.193188899662346,11.193188899662346,11.193188899662346,11.193188899662346,11.2078064000234,12.192585099954158,12.192585099954158,12.677846000064164,z,1,0.4787955000065267,None,507398,001,2024-10-16_15h03.31.052,motor sequence learning,2024.1.5,None,2024-10-16 15h03.42.046397 +0530,
-50,x,1,0,4,0,,,,,12.697808899916708,,12.680237900000066,12.697808899916708,13.69251099973917,13.69251099973917,13.69251099973917,13.69251099973917,13.708123999647796,14.690887599717826,14.690887599717826,15.09669280005619,x,1,0.3969044997356832,None,507398,001,2024-10-16_15h03.31.052,motor sequence learning,2024.1.5,None,2024-10-16 15h03.42.046397 +0530,
150,v,1,1,5,1,,,,,15.119559600017965,,15.100216699764132,15.119559600017965,16.11609150003642,16.11609150003642,16.11609150003642,16.11609150003642,16.139165499713272,17.11154819978401,17.11154819978401,17.495816699694842,v,1,0.3620662996545434,None,507398,001,2024-10-16_15h03.31.052,motor sequence learning,2024.1.5,None,2024-10-16 15h03.42.046397 +0530,
50,c,1,2,6,2,,,,,17.518282199744135,,17.499090699944645,17.518282199744135,18.51764849992469,18.51764849992469,18.51764849992469,18.51764849992469,18.538597600068897,19.5139501998201,19.5139501998201,19.860200599767268,c,1,0.33864099998027086,None,507398,001,2024-10-16_15h03.31.052,motor sequence learning,2024.1.5,None,2024-10-16 15h03.42.046397 +0530,
-150,z,1,3,7,3,,,,,19.88335229968652,,19.86373439989984,19.88335229968652,20.888082299847156,20.888082299847156,20.888082299847156,20.888082299847156,20.904724299907684,21.87805869989097,21.87805869989097,22.260593599639833,z,1,0.36255390010774136,None,507398,001,2024-10-16_15h03.31.052,motor sequence learning,2024.1.5,None,2024-10-16 15h03.42.046397 +0530,
-50,x,2,0,8,0,,,,,22.283283999655396,,22.26422349968925,22.283283999655396,23.28313730005175,23.28313730005175,23.28313730005175,23.28313730005175,23.304965700022876,24.27753479965031,24.27753479965031,25.81417869962752,x,1,1.5229933997616172,None,507398,001,2024-10-16_15h03.31.052,motor sequence learning,2024.1.5,None,2024-10-16 15h03.42.046397 +0530,
150,v,2,1,9,1,,,,,25.83403280004859,,25.817067000083625,25.83403280004859,26.82422489998862,26.82422489998862,26.82422489998862,26.82422489998862,26.839011899661273,27.83104689978063,27.83104689978063,28.98175839986652,v,1,1.128259800374508,None,507398,001,2024-10-16_15h03.31.052,motor sequence learning,2024.1.5,None,2024-10-16 15h03.42.046397 +0530,
50,c,2,2,10,2,,,,,29.003715499769896,,28.985435700044036,29.003715499769896,30.00406439974904,30.00406439974904,30.00406439974904,30.00406439974904,30.020697799976915,30.992586799897254,30.992586799897254,31.703255800064653,c,1,0.6954775000922382,None,507398,001,2024-10-16_15h03.31.052,motor sequence learning,2024.1.5,None,2024-10-16 15h03.42.046397 +0530,
-150,z,2,3,11,3,,,,,31.7271884996444,,31.709862099960446,31.7271884996444,32.71741219982505,32.71741219982505,32.71741219982505,32.71741219982505,32.734329300001264,33.72834530007094,33.72834530007094,34.055649099871516,z,1,0.3022660999558866,None,507398,001,2024-10-16_15h03.31.052,motor sequence learning,2024.1.5,None,2024-10-16 15h03.42.046397 +0530,
-50,x,3,0,12,0,,,,,34.07511089975014,,34.0589123996906,34.07511089975014,35.081162199843675,35.081162199843675,35.081162199843675,35.081162199843675,35.10468459967524,36.07828909996897,36.07828909996897,36.40926059987396,x,1,0.3198736999183893,None,507398,001,2024-10-16_15h03.31.052,motor sequence learning,2024.1.5,None,2024-10-16 15h03.42.046397 +0530,
150,v,3,1,13,1,,,,,36.42809569975361,,36.41104839975014,36.42809569975361,37.4328838000074,37.4328838000074,37.4328838000074,37.4328838000074,37.45147529989481,38.42507410002872,38.42507410002872,38.78691660007462,v,1,0.3584389998577535,None,507398,001,2024-10-16_15h03.31.052,motor sequence learning,2024.1.5,None,2024-10-16 15h03.42.046397 +0530,
50,c,3,2,14,2,,,,,38.807854999788105,,38.78973970003426,38.807854999788105,39.80160250002518,39.80160250002518,39.80160250002518,39.80160250002518,39.82358229998499,40.796045099850744,40.796045099850744,41.1444190996699,c,1,0.3358836001716554,None,507398,001,2024-10-16_15h03.31.052,motor sequence learning,2024.1.5,None,2024-10-16 15h03.42.046397 +0530,
-150,z,3,3,15,3,,,,,41.164492999669164,,41.14713739976287,41.164492999669164,42.152312899939716,42.152312899939716,42.152312899939716,42.152312899939716,42.16661849990487,43.16909009963274,43.16909009963274,43.5582019998692,z,1,0.3737723003141582,None,507398,001,2024-10-16_15h03.31.052,motor sequence learning,2024.1.5,None,2024-10-16 15h03.42.046397 +0530,
-50,x,4,0,16,0,,,,,43.58011809969321,,43.56202229997143,43.58011809969321,44.58021189970896,44.58021189970896,44.58021189970896,44.58021189970896,44.598002899903804,45.579668699763715,45.579668699763715,45.93848089966923,x,1,0.35408010007813573,None,507398,001,2024-10-16_15h03.31.052,motor sequence learning,2024.1.5,None,2024-10-16 15h03.42.046397 +0530,
150,v,4,1,17,1,,,,,45.9565341998823,,45.9403011999093,45.9565341998823,46.95867019984871,46.95867019984871,46.95867019984871,46.95867019984871,46.97309680003673,47.95321119995788,47.95321119995788,48.35178169980645,v,1,0.37842889968305826,None,507398,001,2024-10-16_15h03.31.052,motor sequence learning,2024.1.5,None,2024-10-16 15h03.42.046397 +0530,
50,c,4,2,18,2,,,,,48.37045449996367,,48.354795599821955,48.37045449996367,49.35801439965144,49.35801439965144,49.35801439965144,49.35801439965144,49.37272879993543,50.37876159977168,50.37876159977168,50.68880959972739,c,1,0.30750419991090894,None,507398,001,2024-10-16_15h03.31.052,motor sequence learning,2024.1.5,None,2024-10-16 15h03.42.046397 +0530,
-150,z,4,3,19,3,,,,,50.71079879999161,,50.69201749982312,50.71079879999161,51.715657299850136,51.715657299850136,51.715657299850136,51.715657299850136,51.73374120006338,52.708745799958706,52.708745799958706,53.038429599720985,z,1,0.30494770035147667,None,507398,001,2024-10-16_15h03.31.052,motor sequence learning,2024.1.5,None,2024-10-16 15h03.42.046397 +0530,
-50,x,5,0,20,0,,,,,53.060120599810034,,53.041701700072736,53.060120599810034,54.05912629980594,54.05912629980594,54.05912629980594,54.05912629980594,54.074366400018334,55.05670649977401,55.05670649977401,56.16772169992328,x,1,1.1065744999796152,None,507398,001,2024-10-16_15h03.31.052,motor sequence learning,2024.1.5,None,2024-10-16 15h03.42.046397 +0530,
150,v,5,1,21,1,,,,,56.18994649965316,,56.17087739985436,56.18994649965316,57.17474739998579,57.17474739998579,57.17474739998579,57.17474739998579,57.18974949978292,58.18230709992349,58.18230709992349,58.68050369992852,v,1,0.48348949989303946,None,507398,001,2024-10-16_15h03.31.052,motor sequence learning,2024.1.5,None,2024-10-16 15h03.42.046397 +0530,
50,c,5,2,22,2,,,,,58.70294059999287,,58.685805100016296,58.70294059999287,59.69236489990726,59.69236489990726,59.69236489990726,59.69236489990726,59.71167019987479,60.7013640999794,60.7013640999794,61.227329900022596,c,1,0.504462500102818,None,507398,001,2024-10-16_15h03.31.052,motor sequence learning,2024.1.5,None,2024-10-16 15h03.42.046397 +0530,
-150,z,5,3,23,3,,,,,61.24682099977508,,61.23185219988227,61.24682099977508,62.241110399831086,62.241110399831086,62.241110399831086,62.241110399831086,62.260535900015384,63.25740920007229,63.25740920007229,63.61564529966563,z,1,0.3441817997954786,None,507398,001,2024-10-16_15h03.31.052,motor sequence learning,2024.1.5,None,2024-10-16 15h03.42.046397 +0530,
-50,x,6,0,24,0,,,,,63.63688769983128,,63.618509700056165,63.63688769983128,64.63828999968246,64.63828999968246,64.63828999968246,64.63828999968246,64.6575119998306,65.63948029978201,65.63948029978201,66.17217299994081,x,1,0.5297715002670884,None,507398,001,2024-10-16_15h03.31.052,motor sequence learning,2024.1.5,None,2024-10-16 15h03.42.046397 +0530,
150,v,6,1,25,1,,,,,66.19300989992917,,66.17503389995545,66.19300989992917,67.18742999993265,67.18742999993265,67.18742999993265,67.18742999993265,67.2022568997927,68.19195789983496,68.19195789983496,68.4971195999533,v,1,0.2939567998982966,None,507398,001,2024-10-16_15h03.31.052,motor sequence learning,2024.1.5,None,2024-10-16 15h03.42.046397 +0530,
50,c,6,2,26,2,,,,,68.51648900005966,,68.50029130000621,68.51648900005966,69.53676739986986,69.53676739986986,69.53676739986986,69.53676739986986,69.53676739986986,70.52681829966605,70.52681829966605,70.89153339993209,c,1,0.3533450998365879,None,507398,001,2024-10-16_15h03.31.052,motor sequence learning,2024.1.5,None,2024-10-16 15h03.42.046397 +0530,
-150,z,6,3,27,3,,,,,70.91420089965686,,70.89535279991105,70.91420089965686,71.90710619976744,71.90710619976744,71.90710619976744,71.90710619976744,71.92407609988004,72.91929939994588,72.91929939994588,73.33246700000018,z,1,0.4047157997265458,None,507398,001,2024-10-16_15h03.31.052,motor sequence learning,2024.1.5,None,2024-10-16 15h03.42.046397 +0530,
-50,x,7,0,28,0,,,,,73.3557011000812,,73.336922199931,73.3557011000812,74.3528927997686,74.3528927997686,74.3528927997686,74.3528927997686,74.36727540008724,75.34133839979768,75.34133839979768,75.80847249971703,x,1,0.45175290014594793,None,507398,001,2024-10-16_15h03.31.052,motor sequence learning,2024.1.5,None,2024-10-16 15h03.42.046397 +0530,
150,v,7,1,29,1,,,,,75.83255509985611,,75.81434719962999,75.83255509985611,76.82808189978823,76.82808189978823,76.82808189978823,76.82808189978823,76.84161080000922,77.81512570008636,77.81512570008636,78.1617610999383,v,1,0.3283001999370754,None,507398,001,2024-10-16_15h03.31.052,motor sequence learning,2024.1.5,None,2024-10-16 15h03.42.046397 +0530,
50,c,7,2,30,2,,,,,78.17993729980662,,78.16461589979008,78.17993729980662,79.17668979987502,79.17668979987502,79.17668979987502,79.17668979987502,79.18920509982854,80.16410079970956,80.16410079970956,80.57802530005574,c,1,0.38881730008870363,None,507398,001,2024-10-16_15h03.31.052,motor sequence learning,2024.1.5,None,2024-10-16 15h03.42.046397 +0530,
-150,z,7,3,31,3,,,,,80.59937289962545,,80.58170729968697,80.59937289962545,81.5942238997668,81.5942238997668,81.5942238997668,81.5942238997668,81.61479179980233,82.58352739969268,82.58352739969268,83.03199639962986,z,1,0.44410109985619783,None,507398,001,2024-10-16_15h03.31.052,motor sequence learning,2024.1.5,None,2024-10-16 15h03.42.046397 +0530,
-50,x,8,0,32,0,,,,,83.05139319971204,,83.03466370003298,83.05139319971204,84.04998030001298,84.04998030001298,84.04998030001298,84.04998030001298,84.064553800039,85.03990860003978,85.03990860003978,85.50669700000435,x,1,0.45458379993215203,None,507398,001,2024-10-16_15h03.31.052,motor sequence learning,2024.1.5,None,2024-10-16 15h03.42.046397 +0530,
150,v,8,1,33,1,,,,,85.52678739978,,85.51125249965116,85.52678739978,86.52938509965315,86.52938509965315,86.52938509965315,86.52938509965315,86.54972929973155,87.53562359977514,87.53562359977514,88.01124999998137,v,1,0.458256000187248,None,507398,001,2024-10-16_15h03.31.052,motor sequence learning,2024.1.5,None,2024-10-16 15h03.42.046397 +0530,
50,c,8,2,34,2,,,,,88.03421099996194,,88.01539909979329,88.03421099996194,89.03102630004287,89.03102630004287,89.03102630004287,89.03102630004287,89.05142269982025,90.0225931997411,90.0225931997411,90.36905819969252,c,1,0.32119480008259416,None,507398,001,2024-10-16_15h03.31.052,motor sequence learning,2024.1.5,None,2024-10-16 15h03.42.046397 +0530,
-150,z,8,3,35,3,,,,,90.38905730005354,,90.3722752998583,90.38905730005354,91.38394529977813,91.38394529977813,91.38394529977813,91.38394529977813,91.40067399991676,92.3795503997244,92.3795503997244,92.51305359974504,z,1,0.12860820023342967,None,507398,001,2024-10-16_15h03.31.052,motor sequence learning,2024.1.5,None,2024-10-16 15h03.42.046397 +0530,
-50,x,9,0,36,0,,,,,92.53230149997398,,92.51518799969926,92.53230149997398,93.52462580008432,93.52462580008432,93.52462580008432,93.52462580008432,93.53859349992126,94.5478419996798,94.5478419996798,95.22236099978909,x,1,0.6529637002386153,None,507398,001,2024-10-16_15h03.31.052,motor sequence learning,2024.1.5,None,2024-10-16 15h03.42.046397 +0530,
150,v,9,1,37,1,,,,,95.24205099977553,,95.22647209977731,95.24205099977553,96.24303389992565,96.24303389992565,96.24303389992565,96.24303389992565,96.26256389962509,97.25745130004361,97.25745130004361,97.70625119982287,v,1,0.43578820023685694,None,507398,001,2024-10-16_15h03.31.052,motor sequence learning,2024.1.5,None,2024-10-16 15h03.42.046397 +0530,
50,c,9,2,38,2,,,,,97.72456520004198,,97.70833220006898,97.72456520004198,98.72133199963719,98.72133199963719,98.72133199963719,98.72133199963719,98.73568530008197,99.73042419971898,99.73042419971898,100.21982719982043,c,1,0.4848140999674797,None,507398,001,2024-10-16_15h03.31.052,motor sequence learning,2024.1.5,None,2024-10-16 15h03.42.046397 +0530,
-150,z,9,3,39,3,,,,,100.24057490006089,,100.22445599967614,100.24057490006089,101.23514979984611,101.23514979984611,101.23514979984611,101.23514979984611,101.26047999970615,102.23673629993573,102.23673629993573,102.84973019966856,z,1,0.5990240001119673,None,507398,001,2024-10-16_15h03.31.052,motor sequence learning,2024.1.5,None,2024-10-16 15h03.42.046397 +0530,
-50,x,10,0,40,0,,,,,102.87071179971099,,102.85491689993069,102.87071179971099,103.87558660004288,103.87558660004288,103.87558660004288,103.87558660004288,103.89695159997791,104.86214899970219,104.86214899970219,105.27354859979823,x,1,0.406636799685657,None,507398,001,2024-10-16_15h03.31.052,motor sequence learning,2024.1.5,None,2024-10-16 15h03.42.046397 +0530,
150,v,10,1,41,1,,,,,105.2949479999952,,105.27627639984712,105.2949479999952,106.2784318998456,106.2784318998456,106.2784318998456,106.2784318998456,106.29256440000609,107.30011159973219,107.30011159973219,107.65071799978614,v,1,0.3466993998736143,None,507398,001,2024-10-16_15h03.31.052,motor sequence learning,2024.1.5,None,2024-10-16 15h03.42.046397 +0530,
50,c,10,2,42,2,,,,,107.66896969964728,,107.6545261000283,107.66896969964728,108.6835133000277,108.6835133000277,108.6835133000277,108.6835133000277,108.6835133000277,109.67681929981336,109.67681929981336,110.05101599963382,c,1,0.35732659976929426,None,507398,001,2024-10-16_15h03.31.052,motor sequence learning,2024.1.5,None,2024-10-16 15h03.42.046397 +0530,
-150,z,10,3,43,3,,,,,110.07362959999591,,110.0565299000591,110.07362959999591,111.07017419999465,111.07017419999465,111.07017419999465,111.07017419999465,111.08538419986144,112.06409809971228,112.06409809971228,112.34615029999986,z,1,0.26585490023717284,None,507398,001,2024-10-16_15h03.31.052,motor sequence learning,2024.1.5,None,2024-10-16 15h03.42.046397 +0530,
-50,x,11,0,44,0,,,,,112.36754449969158,,112.34984999988228,112.36754449969158,113.37629069993272,113.37629069993272,113.37629069993272,113.37629069993272,113.3980682999827,114.36546309990808,114.36546309990808,114.82595829991624,x,1,0.4442214001901448,None,507398,001,2024-10-16_15h03.31.052,motor sequence learning,2024.1.5,None,2024-10-16 15h03.42.046397 +0530,
150,v,11,1,45,1,,,,,114.84929060004652,,114.83046610001475,114.84929060004652,115.84022409981117,115.84022409981117,115.84022409981117,115.84022409981117,115.86282669985667,116.84322390006855,116.84322390006855,117.1783507000655,v,1,0.3220943999476731,None,507398,001,2024-10-16_15h03.31.052,motor sequence learning,2024.1.5,None,2024-10-16 15h03.42.046397 +0530,
50,c,11,2,46,2,,,,,117.20314850006253,,117.18056309968233,117.20314850006253,118.19691929966211,118.19691929966211,118.19691929966211,118.19691929966211,118.21311319991946,119.19179279962555,119.19179279962555,119.61460769968107,c,1,0.3967972001992166,None,507398,001,2024-10-16_15h03.31.052,motor sequence learning,2024.1.5,None,2024-10-16 15h03.42.046397 +0530,
-150,z,11,3,47,3,,,,,119.63656049966812,,119.62002749973908,119.63656049966812,120.63490090006962,120.63490090006962,120.63490090006962,120.63490090006962,120.6576179000549,121.6455896999687,121.6455896999687,122.09846689971164,z,1,0.4333193995989859,None,507398,001,2024-10-16_15h03.31.052,motor sequence learning,2024.1.5,None,2024-10-16 15h03.42.046397 +0530,
-50,x,12,0,48,0,,,,,122.1202903999947,,122.10373639967293,122.1202903999947,123.10750239994377,123.10750239994377,123.10750239994377,123.10750239994377,123.12231120001525,124.12370450003073,124.12370450003073,124.50205940008163,x,1,0.3670834000222385,None,507398,001,2024-10-16_15h03.31.052,motor sequence learning,2024.1.5,None,2024-10-16 15h03.42.046397 +0530,
150,v,12,1,49,1,,,,,124.52627029968426,,124.50714410003275,124.52627029968426,125.52553839981556,125.52553839981556,125.52553839981556,125.52553839981556,125.5542708998546,126.53103749966249,126.53103749966249,126.91121789999306,v,1,0.3651545001193881,None,507398,001,2024-10-16_15h03.31.052,motor sequence learning,2024.1.5,None,2024-10-16 15h03.42.046397 +0530,
50,c,12,2,50,2,,,,,126.93121019983664,,126.91580000007525,126.93121019983664,127.92534200008959,127.92534200008959,127.92534200008959,127.92534200008959,127.94107659999281,128.9352499996312,128.9352499996312,129.22464110003784,c,1,0.28053529979661107,None,507398,001,2024-10-16_15h03.31.052,motor sequence learning,2024.1.5,None,2024-10-16 15h03.42.046397 +0530,
-150,z,12,3,51,3,,,,,129.24590600002557,,129.22746019996703,129.24590600002557,130.26444169972092,130.26444169972092,130.26444169972092,130.26444169972092,130.26444169972092,131.23665379965678,131.23665379965678,131.57072379998863,z,1,0.3289981996640563,None,507398,001,2024-10-16_15h03.31.052,motor sequence learning,2024.1.5,None,2024-10-16 15h03.42.046397 +0530,
-50,x,13,0,52,0,,,,,131.59017959982157,,131.5726341996342,131.59017959982157,132.59102310007438,132.59102310007438,132.59102310007438,132.59102310007438,132.60838689981028,133.62224370008335,133.62224370008335,134.00169189972803,x,1,0.36013519996777177,None,507398,001,2024-10-16_15h03.31.052,motor sequence learning,2024.1.5,None,2024-10-16 15h03.42.046397 +0530,
150,v,13,1,53,1,,,,,134.0252911997959,,134.00583259994164,134.0252911997959,135.01852689962834,135.01852689962834,135.01852689962834,135.01852689962834,135.03863079985604,136.02524770004675,136.02524770004675,136.3810530998744,v,1,0.33285440038889647,None,507398,001,2024-10-16_15h03.31.052,motor sequence learning,2024.1.5,None,2024-10-16 15h03.42.046397 +0530,
50,c,13,2,54,2,,,,,136.40200140001252,,136.38395859999582,136.40200140001252,137.4075336996466,137.4075336996466,137.4075336996466,137.4075336996466,137.4258652999997,138.40320219984278,138.40320219984278,138.80052289972082,c,1,0.38828109996393323,None,507398,001,2024-10-16_15h03.31.052,motor sequence learning,2024.1.5,None,2024-10-16 15h03.42.046397 +0530,
-150,z,13,3,55,3,,,,,138.82381419977173,,138.80442399997264,138.82381419977173,139.81960389995947,139.81960389995947,139.81960389995947,139.81960389995947,139.84431819990277,140.83422819990665,140.83422819990665,141.15183879993856,z,1,0.28222510032355785,None,507398,001,2024-10-16_15h03.31.052,motor sequence learning,2024.1.5,None,2024-10-16 15h03.42.046397 +0530,
-50,x,14,0,56,0,,,,,141.17929050000384,,141.15736839966848,141.17929050000384,142.1851592999883,142.1851592999883,142.1851592999883,142.1851592999883,142.2183948000893,143.17041529994458,143.17041529994458,143.61341529991478,x,1,0.43960459996014833,None,507398,001,2024-10-16_15h03.31.052,motor sequence learning,2024.1.5,None,2024-10-16 15h03.42.046397 +0530,
150,v,14,1,57,1,,,,,143.63644169969484,,143.61696089990437,143.63644169969484,144.64413170004264,144.64413170004264,144.64413170004264,144.64413170004264,144.66626219963655,145.6291379998438,145.6291379998438,146.1037067999132,v,1,0.4652455002069473,None,507398,001,2024-10-16_15h03.31.052,motor sequence learning,2024.1.5,None,2024-10-16 15h03.42.046397 +0530,
50,c,14,2,58,2,,,,,146.1262435996905,,146.10655809985474,146.1262435996905,147.12847399991006,147.12847399991006,147.12847399991006,147.12847399991006,147.14113610005006,148.11673109978437,148.11673109978437,148.58360779983923,c,1,0.462690900079906,None,507398,001,2024-10-16_15h03.31.052,motor sequence learning,2024.1.5,None,2024-10-16 15h03.42.046397 +0530,
-150,z,14,3,59,3,,,,,148.6057190997526,,148.58622939977795,148.6057190997526,149.60675229970366,149.60675229970366,149.60675229970366,149.60675229970366,149.6223502997309,150.60308149969205,150.60308149969205,150.98417200008407,z,1,0.36265139980241656,None,507398,001,2024-10-16_15h03.31.052,motor sequence learning,2024.1.5,None,2024-10-16 15h03.42.046397 +0530,
-50,x,15,0,60,0,,,,,151.00272109964862,,150.98679909994826,151.00272109964862,151.9999799998477,151.9999799998477,151.9999799998477,151.9999799998477,152.01467269985005,153.00034380005673,153.00034380005673,153.4724165997468,x,1,0.4489432000555098,None,507398,001,2024-10-16_15h03.31.052,motor sequence learning,2024.1.5,None,2024-10-16 15h03.42.046397 +0530,
