problems,answers,test_problems,test_answers,opacity,intensity,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,thisRow.t,notes,instructions.started,text_4.started,instructions.stopped,trial.started,problem.started,textbox.started,button_2.started,trial.stopped,textbox.text,button_2.numClicks,button_2.timesOn,button_2.timesOff,round_2.started,instruction_2.started,round_2.stopped,distraction.started,text_3.started,textbox_3.started,button.started,notif_polygon.started,notif_sound.started,notif_sound.stopped,notif_polygon.stopped,distraction.stopped,textbox_3.text,button.numClicks,button.timesOn,button.timesOff,participant,session,date,expName,psychopyVersion,frameRate,expStart,
1+3-9,-5,,,,,0,9,9,2,,,,,54.632941000163555,,,,,54.59002080000937,54.632941000163555,54.632941000163555,54.632941000163555,59.5182930000592,-5,1,[4.916299100033939],[4.916310400003567],,,,,,,,,,,,,,,,,472666,001,2024-11-22_15h20.47.847,distraction and problem solving,2024.1.5,None,2024-11-22 15h21.00.778370 +0530,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,59.518936400068924,59.54291480011307,60.5289774001576,,,,,,,,,,,,,,472666,001,2024-11-22_15h20.47.847,distraction and problem solving,2024.1.5,None,2024-11-22 15h21.00.778370 +0530,
,,2-6+3,-1,0,1,,,,,0,0,0,6,60.60702870017849,,,,,,,,,,,,,,,,,60.552694300189614,60.60702870017849,60.60702870017849,60.60702870017849,61.07242290000431,61.03766906686748,61.863812000025064,61.88513060007244,78.89065930014476,-1,1,[18.322548999916762],[18.32256060000509],472666,001,2024-11-22_15h20.47.847,distraction and problem solving,2024.1.5,None,2024-11-22 15h21.00.778370 +0530,
,,6-5+3,4,1,0,,,,,0,1,1,9,78.92058930010535,,,,,,,,,,,,,,,,,78.89173900010064,78.92058930010535,78.92058930010535,78.92058930010535,79.39775910018943,79.39049766684572,80.21125470008701,80.23337830021046,98.0338360001333,4,1,[19.13435519998893],[19.13437970005907],472666,001,2024-11-22_15h20.47.847,distraction and problem solving,2024.1.5,None,2024-11-22 15h21.00.778370 +0530,
,,2+4-8,-2,1,0,,,,,0,2,2,2,98.09272460010834,,,,,,,,,,,,,,,,,98.03564330004156,98.09272460010834,98.09272460010834,98.09272460010834,98.5618486001622,98.55473586667019,99.38244150020182,99.38244150020182,113.37795700016432,-2,1,[15.324525900185108],[15.32454050006345],472666,001,2024-11-22_15h20.47.847,distraction and problem solving,2024.1.5,None,2024-11-22 15h21.00.778370 +0530,
,,3+7-4,6,0,1,,,,,0,3,3,5,113.42009640019387,,,,,,,,,,,,,,,,,113.37918150005862,113.42009640019387,113.42009640019387,113.42009640019387,113.89236460020766,113.88577786676275,114.71729040006176,114.71729040006176,126.67715380014852,6,1,[13.287444500019774],[13.287469599861652],472666,001,2024-11-22_15h20.47.847,distraction and problem solving,2024.1.5,None,2024-11-22 15h21.00.778370 +0530,
,,5-4+1,2,1,0,,,,,0,4,4,4,126.73434890015051,,,,,,,,,,,,,,,,,126.67901370022446,126.73434890015051,126.73434890015051,126.73434890015051,127.20720020006411,127.20027836674514,128.03274110006168,128.03274110006168,139.9401494001504,2,1,[13.244439400034025],[13.244456100044772],472666,001,2024-11-22_15h20.47.847,distraction and problem solving,2024.1.5,None,2024-11-22 15h21.00.778370 +0530,
,,1-7+5,-1,0,1,,,,,0,5,5,8,139.98448750004172,,,,,,,,,,,,,,,,,139.94143130001612,139.98448750004172,139.98448750004172,139.98448750004172,140.46255660010502,140.45453726669464,141.2903673001565,141.2903673001565,157.38052030000836,5,1,[17.426174900028855],[17.426200200105086],472666,001,2024-11-22_15h20.47.847,distraction and problem solving,2024.1.5,None,2024-11-22 15h21.00.778370 +0530,
,,2+7-3,6,0,1,,,,,0,6,6,3,157.44109000009485,,,,,,,,,,,,,,,,,157.383014800027,157.44109000009485,157.44109000009485,157.44109000009485,157.89161320007406,157.882034466664,158.7152262001764,158.7152262001764,174.9380044999998,2,1,[17.538076699944213],[17.538092900067568],472666,001,2024-11-22_15h20.47.847,distraction and problem solving,2024.1.5,None,2024-11-22 15h21.00.778370 +0530,
,,9-3+1,7,1,0,,,,,0,7,7,1,174.97915090015158,,,,,,,,,,,,,,,,,174.93912080000155,174.97915090015158,174.97915090015158,174.97915090015158,175.46008700015955,175.45279186667565,176.2967307001818,176.2967307001818,196.99685490014963,7,1,[22.044567599892616],[22.04458159999922],472666,001,2024-11-22_15h20.47.847,distraction and problem solving,2024.1.5,None,2024-11-22 15h21.00.778370 +0530,
,,3+7-2,8,1,0,,,,,0,8,8,7,197.03440660005435,,,,,,,,,,,,,,,,,196.9979714001529,197.03440660005435,197.03440660005435,197.03440660005435,197.5100360000506,197.50355116679955,198.32959259999916,198.32959259999916,222.75996380019933,8,1,[25.750895399833098],[25.750910699833184],472666,001,2024-11-22_15h20.47.847,distraction and problem solving,2024.1.5,None,2024-11-22 15h21.00.778370 +0530,
,,5+6-3,8,0,1,,,,,0,9,9,0,222.79857110022567,,,,,,,,,,,,,,,,,222.76116530015133,222.79857110022567,222.79857110022567,222.79857110022567,223.27277930011041,223.26534606685553,224.09037920017727,224.09037920017727,236.26664889999665,9,1,[13.4919090999756],[13.491935199825093],472666,001,2024-11-22_15h20.47.847,distraction and problem solving,2024.1.5,None,2024-11-22 15h21.00.778370 +0530,
