problems,answers,test_problems,test_answers,opacity,intensity,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,thisRow.t,notes,instructions.started,text_4.started,instructions.stopped,trial.started,problem.started,textbox.started,button_2.started,trial.stopped,textbox.text,button_2.numClicks,button_2.timesOn,button_2.timesOff,round_2.started,instruction_2.started,round_2.stopped,distraction.started,text_3.started,textbox_3.started,button.started,notif_polygon.started,notif_sound.started,notif_sound.stopped,notif_polygon.stopped,distraction.stopped,textbox_3.text,button.numClicks,button.timesOn,button.timesOff,participant,session,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,,,0.008559300098568201,0.028723600087687373,3.009063200093806,,,,,,,,,,,,,,,,,,,,,,,,,,472666,001,2024-11-22_15h20.47.847,distraction and problem solving,2024.1.5,None,2024-11-22 15h21.00.778370 +0530,
5+7-4,8,,,,,0,0,0,0,,,,,3.1044499001000077,,,,,3.0475481001194566,3.1044499001000077,3.1044499001000077,3.1044499001000077,11.561049400130287,8,1,[8.496643499936908],[8.496654500020668],,,,,,,,,,,,,,,,,472666,001,2024-11-22_15h20.47.847,distraction and problem solving,2024.1.5,None,2024-11-22 15h21.00.778370 +0530,
4+9-1,12,,,,,0,1,1,7,,,,,11.595462400000542,,,,,11.5647450000979,11.595462400000542,11.595462400000542,11.595462400000542,18.284707100130618,12,1,[6.710715999826789],[6.7107265999075025],,,,,,,,,,,,,,,,,472666,001,2024-11-22_15h20.47.847,distraction and problem solving,2024.1.5,None,2024-11-22 15h21.00.778370 +0530,
8+1-3,6,,,,,0,2,2,5,,,,,18.315556700108573,,,,,18.285629800055176,18.315556700108573,18.315556700108573,18.315556700108573,22.640476000029594,6,1,[4.347071700030938],[4.347086600027978],,,,,,,,,,,,,,,,,472666,001,2024-11-22_15h20.47.847,distraction and problem solving,2024.1.5,None,2024-11-22 15h21.00.778370 +0530,
6-3+2,5,,,,,0,3,3,4,,,,,22.677297700196505,,,,,22.641671300167218,22.677297700196505,22.677297700196505,22.677297700196505,27.103347800206393,5,1,[4.452041200129315],[4.4520552000030875],,,,,,,,,,,,,,,,,472666,001,2024-11-22_15h20.47.847,distraction and problem solving,2024.1.5,None,2024-11-22 15h21.00.778370 +0530,
4+8-2,10,,,,,0,4,4,3,,,,,27.1378423999995,,,,,27.104484900133684,27.1378423999995,27.1378423999995,27.1378423999995,33.86070010019466,10,1,[6.749301200034097],[6.749318300047889],,,,,,,,,,,,,,,,,472666,001,2024-11-22_15h20.47.847,distraction and problem solving,2024.1.5,None,2024-11-22 15h21.00.778370 +0530,
7-4+2,5,,,,,0,5,5,9,,,,,33.891279000090435,,,,,33.863786600064486,33.891279000090435,33.891279000090435,33.891279000090435,38.43231280008331,5,1,[4.562192099867389],[4.562211300013587],,,,,,,,,,,,,,,,,472666,001,2024-11-22_15h20.47.847,distraction and problem solving,2024.1.5,None,2024-11-22 15h21.00.778370 +0530,
5-7+1,-1,,,,,0,6,6,6,,,,,38.47846750007011,,,,,38.43407850014046,38.47846750007011,38.47846750007011,38.47846750007011,46.115961300209165,-3,1,[7.6730778000783175],[7.673089100047946],,,,,,,,,,,,,,,,,472666,001,2024-11-22_15h20.47.847,distraction and problem solving,2024.1.5,None,2024-11-22 15h21.00.778370 +0530,
2+3+6,11,,,,,0,7,7,8,,,,,46.14533210010268,,,,,46.11680080019869,46.14533210010268,46.14533210010268,46.14533210010268,49.963019400136545,11,1,[3.8412599000148475],[3.8412703999783844],,,,,,,,,,,,,,,,,472666,001,2024-11-22_15h20.47.847,distraction and problem solving,2024.1.5,None,2024-11-22 15h21.00.778370 +0530,
10-6+2,6,,,,,0,8,8,1,,,,,49.99440610012971,,,,,49.96388250007294,49.99440610012971,49.99440610012971,49.99440610012971,54.587801000103354,6,1,[4.615199499996379],[4.615225099958479],,,,,,,,,,,,,,,,,472666,001,2024-11-22_15h20.47.847,distraction and problem solving,2024.1.5,None,2024-11-22 15h21.00.778370 +0530,
