problems,answers,test_problems,test_answers,opacity,intensity,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,thisRow.t,notes,instructions.started,text_4.started,instructions.stopped,trial.started,problem.started,textbox.started,button_2.started,trial.stopped,textbox.text,button_2.numClicks,button_2.timesOn,button_2.timesOff,round_2.started,instruction_2.started,round_2.stopped,distraction.started,text_3.started,textbox_3.started,button.started,notif_polygon.started,notif_sound.started,notif_sound.stopped,notif_polygon.stopped,distraction.stopped,textbox_3.text,button.numClicks,button.timesOn,button.timesOff,participant,session,date,expName,psychopyVersion,frameRate,expStart,
8+1-3,6,,,,,0,9,9,5,,,,,103.37675189995207,,,,,103.33178019989282,103.37675189995207,103.37675189995207,103.37675189995207,109.5654134999495,6,1,[6.2223735000006855],[6.222390100127086],,,,,,,,,,,,,,,,,837796,001,2024-11-22_16h22.44.913,distraction and problem solving,2024.1.5,None,2024-11-22 16h23.44.179450 +0530,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,109.56660699984059,109.58722549979575,110.57105019991286,,,,,,,,,,,,,,837796,001,2024-11-22_16h22.44.913,distraction and problem solving,2024.1.5,None,2024-11-22 16h23.44.179450 +0530,
,,2+4-8,-2,1,0,,,,,0,0,0,2,110.64659339981154,,,,,,,,,,,,,,,,,110.5951335998252,110.64659339981154,110.64659339981154,110.64659339981154,111.1147530998569,111.09364536666932,111.92494299984537,111.95900409994647,121.78914569993503,-2,1,[11.180026399903],[11.180043200030923],837796,001,2024-11-22_16h22.44.913,distraction and problem solving,2024.1.5,None,2024-11-22 16h23.44.179450 +0530,
,,2-6+3,-1,0,1,,,,,0,1,1,6,121.83692029980011,,,,,,,,,,,,,,,,,121.79097799980082,121.83692029980011,121.83692029980011,121.83692029980011,122.32501329993829,122.30863186653393,123.14364689984359,123.18145729997195,131.02342539979145,-1,1,[9.219475700054318],[9.219496699981391],837796,001,2024-11-22_16h22.44.913,distraction and problem solving,2024.1.5,None,2024-11-22 16h23.44.179450 +0530,
,,5+6-3,8,0,1,,,,,0,2,2,0,131.0570014999248,,,,,,,,,,,,,,,,,131.02445409982465,131.0570014999248,131.0570014999248,131.0570014999248,131.54390759998932,131.53295826662023,132.3599184998311,132.3599184998311,141.22789859981276,8,1,[10.193580399965867],[10.193593600066379],837796,001,2024-11-22_16h22.44.913,distraction and problem solving,2024.1.5,None,2024-11-22 16h23.44.179450 +0530,
,,6-5+3,4,1,0,,,,,0,3,3,9,141.27017989987507,,,,,,,,,,,,,,,,,141.22888899990357,141.27017989987507,141.27017989987507,141.27017989987507,141.74896559980698,141.7320508666492,142.57268689991906,142.57268689991906,148.63998129987158,4,1,[7.402761199977249],[7.402777400100604],837796,001,2024-11-22_16h22.44.913,distraction and problem solving,2024.1.5,None,2024-11-22 16h23.44.179450 +0530,
,,2+7-3,6,0,1,,,,,0,4,4,3,148.67954729986377,,,,,,,,,,,,,,,,,148.64109059982002,148.67954729986377,148.67954729986377,148.67954729986377,149.15806309995241,149.15083156648714,,150.020657699788,155.89021419989876,6,1,[7.238723399816081],[7.238739899825305],837796,001,2024-11-22_16h22.44.913,distraction and problem solving,2024.1.5,None,2024-11-22 16h23.44.179450 +0530,
,,3+7-2,8,1,0,,,,,0,5,5,7,155.93792059994303,,,,,,,,,,,,,,,,,155.89141889987513,155.93792059994303,155.93792059994303,155.93792059994303,156.41815929999575,156.4014738666049,157.23797339992598,157.26470609987155,160.48598709981889,8,1,[4.583568900125101],[4.583580699982122],837796,001,2024-11-22_16h22.44.913,distraction and problem solving,2024.1.5,None,2024-11-22 16h23.44.179450 +0530,
,,3+7-4,6,0,1,,,,,0,6,6,5,160.52599869994447,,,,,,,,,,,,,,,,,160.48705469979905,160.52599869994447,160.52599869994447,160.52599869994447,161.01789829996414,161.00148566655506,161.82855789992027,161.85607679979876,164.83607609989122,6,1,[4.340331400046125],[4.340349599951878],837796,001,2024-11-22_16h22.44.913,distraction and problem solving,2024.1.5,None,2024-11-22 16h23.44.179450 +0530,
,,9-3+1,7,1,0,,,,,0,7,7,1,164.86912259995006,,,,,,,,,,,,,,,,,164.83719549980015,164.86912259995006,164.86912259995006,164.86912259995006,165.37285369983874,165.35370616667595,166.17685169982724,166.20107909990475,172.1282226999756,7,1,[7.283138300059363],[7.2831520000472665],837796,001,2024-11-22_16h22.44.913,distraction and problem solving,2024.1.5,None,2024-11-22 16h23.44.179450 +0530,
,,5-4+1,2,1,0,,,,,0,8,8,4,172.16729199979454,,,,,,,,,,,,,,,,,172.12908099987544,172.16729199979454,172.16729199979454,172.16729199979454,172.65943739982322,172.64885486645315,173.47654709988274,173.47654709988274,177.1283887999598,2,1,[4.986748300027102],[4.9867599999997765],837796,001,2024-11-22_16h22.44.913,distraction and problem solving,2024.1.5,None,2024-11-22 16h23.44.179450 +0530,
,,1-7+5,-1,0,1,,,,,0,9,9,8,177.16273899981752,,,,,,,,,,,,,,,,,177.1292272999417,177.16273899981752,177.16273899981752,177.16273899981752,177.6520820998121,177.64326066646416,178.47219909983687,178.47219909983687,189.8496837997809,-1,1,[12.709895999869332],[12.709951099939644],837796,001,2024-11-22_16h22.44.913,distraction and problem solving,2024.1.5,None,2024-11-22 16h23.44.179450 +0530,
