problems,answers,test_problems,test_answers,opacity,intensity,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,thisRow.t,notes,instructions.started,text_4.started,instructions.stopped,trial.started,problem.started,textbox.started,button_2.started,trial.stopped,textbox.text,button_2.numClicks,button_2.timesOn,button_2.timesOff,round_2.started,instruction_2.started,round_2.stopped,distraction.started,text_3.started,textbox_3.started,button.started,notif_polygon.started,notif_sound.started,notif_sound.stopped,notif_polygon.stopped,distraction.stopped,textbox_3.text,button.numClicks,button.timesOn,button.timesOff,participant,session,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,,,0.00847009988501668,0.029155299998819828,3.0124013999011368,,,,,,,,,,,,,,,,,,,,,,,,,,837796,001,2024-11-22_16h22.44.913,distraction and problem solving,2024.1.5,None,2024-11-22 16h23.44.179450 +0530,
6-3+2,5,,,,,0,0,0,4,,,,,3.0665138999465853,,,,,3.0312454998493195,3.0665138999465853,3.0665138999465853,3.0665138999465853,21.5447067997884,5,1,[18.50658900011331],[18.50660640001297],,,,,,,,,,,,,,,,,837796,001,2024-11-22_16h22.44.913,distraction and problem solving,2024.1.5,None,2024-11-22 16h23.44.179450 +0530,
4+9-1,12,,,,,0,1,1,7,,,,,21.584637099877,,,,,21.547877999953926,21.584637099877,21.584637099877,21.584637099877,29.076278099790215,7,1,[7.514377499930561],[7.514387700008228],,,,,,,,,,,,,,,,,837796,001,2024-11-22_16h22.44.913,distraction and problem solving,2024.1.5,None,2024-11-22 16h23.44.179450 +0530,
4+8-2,10,,,,,0,2,2,3,,,,,29.113090799888596,,,,,29.07781759998761,29.113090799888596,29.113090799888596,29.113090799888596,39.09862449998036,10,1,[10.007388499798253],[10.007416799897328],,,,,,,,,,,,,,,,,837796,001,2024-11-22_16h22.44.913,distraction and problem solving,2024.1.5,None,2024-11-22 16h23.44.179450 +0530,
10-6+2,6,,,,,0,3,3,1,,,,,39.143632099963725,,,,,39.10071159992367,39.143632099963725,39.143632099963725,39.143632099963725,47.13363879988901,6,1,[8.020233900053427],[8.02025319985114],,,,,,,,,,,,,,,,,837796,001,2024-11-22_16h22.44.913,distraction and problem solving,2024.1.5,None,2024-11-22 16h23.44.179450 +0530,
7-4+2,5,,,,,0,4,4,9,,,,,47.19016239978373,,,,,47.135121800005436,47.19016239978373,47.19016239978373,47.19016239978373,61.261493699857965,5,1,[14.110213399864733],[14.110231899889186],,,,,,,,,,,,,,,,,837796,001,2024-11-22_16h22.44.913,distraction and problem solving,2024.1.5,None,2024-11-22 16h23.44.179450 +0530,
1+3-9,-5,,,,,0,5,5,2,,,,,61.31036409991793,,,,,61.26313959993422,61.31036409991793,61.31036409991793,61.31036409991793,68.95025549991988,-5,1,[7.678141999989748],[7.678153400076553],,,,,,,,,,,,,,,,,837796,001,2024-11-22_16h22.44.913,distraction and problem solving,2024.1.5,None,2024-11-22 16h23.44.179450 +0530,
5-7+1,-1,,,,,0,6,6,6,,,,,68.98545859986916,,,,,68.95123149990104,68.98545859986916,68.98545859986916,68.98545859986916,80.31509129982442,-1,1,[11.354040800128132],[11.354065400082618],,,,,,,,,,,,,,,,,837796,001,2024-11-22_16h22.44.913,distraction and problem solving,2024.1.5,None,2024-11-22 16h23.44.179450 +0530,
5+7-4,8,,,,,0,7,7,0,,,,,80.36221619998105,,,,,80.31672049988993,80.36221619998105,80.36221619998105,80.36221619998105,98.32037249999121,8,1,[17.99169579986483],[17.99171549989842],,,,,,,,,,,,,,,,,837796,001,2024-11-22_16h22.44.913,distraction and problem solving,2024.1.5,None,2024-11-22 16h23.44.179450 +0530,
2+3+6,11,,,,,0,8,8,8,,,,,98.37191329989582,,,,,98.32207089988515,98.37191329989582,98.37191329989582,98.37191329989582,103.32978669996373,11,1,[4.996951899956912],[4.996976399794221],,,,,,,,,,,,,,,,,837796,001,2024-11-22_16h22.44.913,distraction and problem solving,2024.1.5,None,2024-11-22 16h23.44.179450 +0530,
