trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,trial.started,num_distr,fixation.started,target.started,mouse.started,trial.stopped,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,participant,session,date,expName,psychopyVersion,frameRate,expStart,
0,0,0,0,0.17041520006023347,,0.02221959992311895,10,0.17041520006023347,0.17041520006023347,0.11201780010014772,25.949603900080547,[0.31],[-0.08125],[1],[0],[0],[25.83599659986794],['target'],550966,001,2024-10-04_11h11.34.433,untitled,2024.1.5,None,2024-10-04 11h11.36.700475 +0530,
1,0,1,0,26.047863600077108,,25.95146290003322,10,26.047863600077108,26.047863600077108,0.06349690002389252,27.33560679992661,[0.215],[0.19125],[1],[0],[0],[1.320265900110826],['target'],550966,001,2024-10-04_11h11.34.433,untitled,2024.1.5,None,2024-10-04 11h11.36.700475 +0530,
2,0,2,0,27.396320699946955,,27.33677119994536,5,27.396320699946955,27.396320699946955,0.033279099967330694,28.817052599973977,[0.415],[-0.0575],[1],[0],[0],[1.44667199999094],['target'],550966,001,2024-10-04_11h11.34.433,untitled,2024.1.5,None,2024-10-04 11h11.36.700475 +0530,
3,0,3,0,28.913045400055125,,28.81816829997115,10,28.913045400055125,28.913045400055125,0.0657865998800844,30.165992900030687,[0.31375],[0.0375],[1],[0],[0],[1.2816914001014084],['target'],550966,001,2024-10-04_11h11.34.433,untitled,2024.1.5,None,2024-10-04 11h11.36.700475 +0530,
4,0,4,0,30.22985800006427,,30.167168400017545,5,30.22985800006427,30.22985800006427,0.034618600038811564,32.43215060001239,[0.46125],[0.1175],[1],[0],[0],[2.2300283000804484],[],550966,001,2024-10-04_11h11.34.433,untitled,2024.1.5,None,2024-10-04 11h11.36.700475 +0530,
