reward_today,future_reward,delay,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,trial.started,fixation.started,text.started,key_resp.started,fixation.stopped,trial.stopped,key_resp.keys,key_resp.rt,key_resp.duration,participant,session,date,expName,psychopyVersion,frameRate,expStart,
15,35,13,0,0,0,1,0.1772193000651896,,0.03497230005450547,0.1772193000651896,1.0152354999445379,1.0152354999445379,1.1797406999394298,11.899252299917862,l,10.836062100017443,None,506739,001,2024-11-20_22h28.28.180,delay discounting exp,2024.1.5,None,2024-11-20 22h28.42.341277 +0530,
40,55,62,0,1,1,3,11.955587000120431,,11.907209600089118,11.955587000120431,12.914681599941105,12.914681599941105,12.977611399954185,15.441580699989572,l,2.5162033000960946,None,506739,001,2024-11-20_22h28.28.180,delay discounting exp,2024.1.5,None,2024-11-20 22h28.42.341277 +0530,
11,30,7,0,2,2,0,15.48626030003652,,15.4474103001412,15.48626030003652,16.46176699991338,16.46176699991338,16.507247200002894,20.99868580000475,l,4.533628300065175,None,506739,001,2024-11-20_22h28.28.180,delay discounting exp,2024.1.5,None,2024-11-20 22h28.42.341277 +0530,
67,75,119,0,3,3,5,21.03964660014026,,21.001387000083923,21.03964660014026,22.015628499910235,22.015628499910235,22.059105799999088,26.845924299908802,t,4.811857300112024,None,506739,001,2024-11-20_22h28.28.180,delay discounting exp,2024.1.5,None,2024-11-20 22h28.42.341277 +0530,
49,60,89,0,4,4,4,26.879871299955994,,26.848135699983686,26.879871299955994,27.859406700124964,27.859406700124964,27.905011900002137,31.50862230011262,l,3.642022999934852,None,506739,001,2024-11-20_22h28.28.180,delay discounting exp,2024.1.5,None,2024-11-20 22h28.42.341277 +0530,
27,50,21,0,5,5,2,31.528963200049475,,31.510004800045863,31.528963200049475,32.522423200076446,32.522423200076446,32.53904279996641,36.45652400003746,l,3.9292480000294745,None,506739,001,2024-11-20_22h28.28.180,delay discounting exp,2024.1.5,None,2024-11-20 22h28.42.341277 +0530,
78,80,162,0,6,6,6,36.47709279996343,,36.458091699983925,36.47709279996343,37.47061850014143,37.47061850014143,37.48714919993654,40.43985019996762,t,2.965089000063017,None,506739,001,2024-11-20_22h28.28.180,delay discounting exp,2024.1.5,None,2024-11-20 22h28.42.341277 +0530,
67,75,119,1,0,7,5,40.46599670010619,,40.44198140013032,40.46599670010619,41.45349560002796,41.45349560002796,41.47021219995804,44.539113899925724,t,3.076546300202608,None,506739,001,2024-11-20_22h28.28.180,delay discounting exp,2024.1.5,None,2024-11-20 22h28.42.341277 +0530,
40,55,62,1,1,8,3,44.56435459991917,,44.54085789993405,44.56435459991917,45.55320700001903,45.55320700001903,45.5693842000328,49.58734899992123,t,4.021746200043708,None,506739,001,2024-11-20_22h28.28.180,delay discounting exp,2024.1.5,None,2024-11-20 22h28.42.341277 +0530,
27,50,21,1,2,9,2,49.612458399962634,,49.589181000133976,49.612458399962634,50.60580569994636,50.60580569994636,50.62264580000192,52.45586599991657,l,1.846948100021109,None,506739,001,2024-11-20_22h28.28.180,delay discounting exp,2024.1.5,None,2024-11-20 22h28.42.341277 +0530,
