reward_today,future_reward,delay,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,trial.started,fixation.started,text.started,key_resp.started,fixation.stopped,trial.stopped,key_resp.keys,key_resp.rt,key_resp.duration,participant,session,date,expName,psychopyVersion,frameRate,expStart,
49,60,89,0,0,0,4,0.21043860004283488,,0.043749900069087744,0.21043860004283488,1.0040935000870377,1.0040935000870377,1.2186638000421226,2.0188909999560565,t,0.9989140999969095,None,034014,001,2024-11-20_22h43.02.292,delay discounting exp,2024.1.5,None,2024-11-20 22h43.12.496693 +0530,
15,35,13,0,1,1,1,2.0565754000563174,,2.0217228999827057,2.0565754000563174,3.035258000018075,3.035258000018075,3.068593699950725,3.7237831000238657,l,0.6789404998999089,None,034014,001,2024-11-20_22h43.02.292,delay discounting exp,2024.1.5,None,2024-11-20 22h43.12.496693 +0530,
67,75,119,0,2,2,5,3.759099599905312,,3.7260809000581503,3.759099599905312,4.736001200042665,4.736001200042665,4.768932400038466,5.822966699954122,t,1.0841457999777049,None,034014,001,2024-11-20_22h43.02.292,delay discounting exp,2024.1.5,None,2024-11-20 22h43.12.496693 +0530,
11,30,7,0,3,3,0,5.852478899993002,,5.825400999980047,5.852478899993002,6.834859299939126,6.834859299939126,6.851404899964109,7.486597100039944,l,0.639582599978894,None,034014,001,2024-11-20_22h43.02.292,delay discounting exp,2024.1.5,None,2024-11-20 22h43.12.496693 +0530,
40,55,62,0,4,4,3,7.5113671000581235,,7.4881217000074685,7.5113671000581235,8.50427749985829,8.50427749985829,8.520450199954212,9.122173599898815,t,0.6132825999520719,None,034014,001,2024-11-20_22h43.02.292,delay discounting exp,2024.1.5,None,2024-11-20 22h43.12.496693 +0530,
78,80,162,0,5,5,6,9.16008699988015,,9.125351799884811,9.16008699988015,10.135697999969125,10.135697999969125,10.173167600063607,10.70353790000081,t,0.5607414001133293,None,034014,001,2024-11-20_22h43.02.292,delay discounting exp,2024.1.5,None,2024-11-20 22h43.12.496693 +0530,
27,50,21,0,6,6,2,10.730344699928537,,10.70618119998835,10.730344699928537,11.716613699914888,11.716613699914888,11.73348779999651,12.03671359992586,t,0.3081212998367846,None,034014,001,2024-11-20_22h43.02.292,delay discounting exp,2024.1.5,None,2024-11-20 22h43.12.496693 +0530,
40,55,62,1,0,7,3,12.066266499925405,,12.038774800021201,12.066266499925405,13.050848299870268,13.050848299870268,13.066878899931908,13.367458200082183,t,0.3066718999762088,None,034014,001,2024-11-20_22h43.02.292,delay discounting exp,2024.1.5,None,2024-11-20 22h43.12.496693 +0530,
27,50,21,1,1,8,2,13.386206099996343,,13.368582699913532,13.386206099996343,14.371200300054625,14.371200300054625,14.388848699862137,14.685312099987641,t,0.30501369992271066,None,034014,001,2024-11-20_22h43.02.292,delay discounting exp,2024.1.5,None,2024-11-20 22h43.12.496693 +0530,
78,80,162,1,2,9,6,14.71916970005259,,14.687822500010952,14.71916970005259,15.710803000023589,15.710803000023589,15.730125800007954,16.73589719994925,t,1.0186175000853837,None,034014,001,2024-11-20_22h43.02.292,delay discounting exp,2024.1.5,None,2024-11-20 22h43.12.496693 +0530,
11,30,7,1,3,10,0,16.75994349992834,,16.737476299982518,16.75994349992834,17.751432199962437,17.751432199962437,17.76860040007159,18.433599999872968,l,0.6758985000196844,None,034014,001,2024-11-20_22h43.02.292,delay discounting exp,2024.1.5,None,2024-11-20 22h43.12.496693 +0530,
67,75,119,1,4,11,5,18.45571899996139,,18.43494819989428,18.45571899996139,19.450203399872407,19.450203399872407,19.466703299898654,20.1019717999734,t,0.6438668000046164,None,034014,001,2024-11-20_22h43.02.292,delay discounting exp,2024.1.5,None,2024-11-20 22h43.12.496693 +0530,
49,60,89,1,5,12,4,20.130552100017667,,20.10415680008009,20.130552100017667,21.124440300045535,21.124440300045535,21.1491644999478,21.617387400008738,t,0.4856611001305282,None,034014,001,2024-11-20_22h43.02.292,delay discounting exp,2024.1.5,None,2024-11-20 22h43.12.496693 +0530,
15,35,13,1,6,13,1,21.64480290003121,,21.619242799934,21.64480290003121,22.63154980004765,22.63154980004765,22.647947799880058,23.017146199941635,t,0.3825179999694228,None,034014,001,2024-11-20_22h43.02.292,delay discounting exp,2024.1.5,None,2024-11-20 22h43.12.496693 +0530,
15,35,13,2,0,14,1,23.032835300080478,,23.01891759992577,23.032835300080478,24.032608799869195,24.032608799869195,24.032608799869195,25.21635610004887,t,1.1693623999599367,None,034014,001,2024-11-20_22h43.02.292,delay discounting exp,2024.1.5,None,2024-11-20 22h43.12.496693 +0530,
78,80,162,2,1,15,6,25.240022799931467,,25.218146699946374,25.240022799931467,26.230344400042668,26.230344400042668,26.246860600076616,26.867191500030458,t,0.6313038000371307,None,034014,001,2024-11-20_22h43.02.292,delay discounting exp,2024.1.5,None,2024-11-20 22h43.12.496693 +0530,
67,75,119,2,2,16,5,26.907166099874303,,26.870267699938267,26.907166099874303,27.88249129988253,27.88249129988253,27.91914699994959,28.448523999890313,t,0.5634224999230355,None,034014,001,2024-11-20_22h43.02.292,delay discounting exp,2024.1.5,None,2024-11-20 22h43.12.496693 +0530,
40,55,62,2,3,17,3,28.470817599911243,,28.450113900005817,28.470817599911243,29.463077099993825,29.463077099993825,29.479449099861085,30.076969499932602,t,0.5914998999796808,None,034014,001,2024-11-20_22h43.02.292,delay discounting exp,2024.1.5,None,2024-11-20 22h43.12.496693 +0530,
49,60,89,2,4,18,4,30.112810000078753,,30.080170799978077,30.112810000078753,31.083949899999425,31.083949899999425,31.131080700084567,32.13601449993439,t,1.0457583998795599,None,034014,001,2024-11-20_22h43.02.292,delay discounting exp,2024.1.5,None,2024-11-20 22h43.12.496693 +0530,
