reward_today,future_reward,delay,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,trial.started,fixation.started,text.started,key_resp.started,fixation.stopped,trial.stopped,key_resp.keys,key_resp.rt,key_resp.duration,participant,session,date,expName,psychopyVersion,frameRate,expStart,
78,80,162,0,0,0,6,0.21676059998571873,,0.0423913998529315,0.21676059998571873,1.0037100999616086,1.0037100999616086,1.2191232000477612,4.203825899865478,t,3.178665600018576,None,728019,001,2024-11-20_22h36.51.892,delay discounting exp,2024.1.5,None,2024-11-20 22h37.35.259989 +0530,
49,60,89,0,1,1,4,4.2371278998907655,,4.206662199925631,4.2371278998907655,5.22077489993535,5.22077489993535,5.2489585999865085,11.987738099880517,t,6.746064800070599,None,728019,001,2024-11-20_22h36.51.892,delay discounting exp,2024.1.5,None,2024-11-20 22h37.35.259989 +0530,
27,50,21,0,2,2,2,12.028610300039873,,11.990397599991411,12.028610300039873,13.000414300011471,13.000414300011471,13.032963899895549,16.28216809988953,l,3.2711473000235856,None,728019,001,2024-11-20_22h36.51.892,delay discounting exp,2024.1.5,None,2024-11-20 22h37.35.259989 +0530,
67,75,119,0,3,3,5,16.299623399972916,,16.283001199830323,16.299623399972916,17.284170999890193,17.284170999890193,17.300318599911407,22.13405799982138,t,4.842972700018436,None,728019,001,2024-11-20_22h36.51.892,delay discounting exp,2024.1.5,None,2024-11-20 22h37.35.259989 +0530,
11,30,7,0,4,4,0,22.166957200039178,,22.135952699929476,22.166957200039178,23.146333700045943,23.146333700045943,23.179891400039196,25.365745599847287,t,2.2058652001433074,None,728019,001,2024-11-20_22h36.51.892,delay discounting exp,2024.1.5,None,2024-11-20 22h37.35.259989 +0530,
40,55,62,0,5,5,3,25.39026859984733,,25.367344100028276,25.39026859984733,26.380237399833277,26.380237399833277,26.396230599842966,29.72978529985994,t,3.3323804000392556,None,728019,001,2024-11-20_22h36.51.892,delay discounting exp,2024.1.5,None,2024-11-20 22h37.35.259989 +0530,
15,35,13,0,6,6,1,29.747982299886644,,29.730920299887657,29.747982299886644,30.74517869995907,30.74517869995907,30.76205759984441,33.079932200023904,l,2.319710199953988,None,728019,001,2024-11-20_22h36.51.892,delay discounting exp,2024.1.5,None,2024-11-20 22h37.35.259989 +0530,
67,75,119,1,0,7,5,33.1036878998857,,33.08157019992359,33.1036878998857,34.094384299824014,34.094384299824014,34.11115200002678,37.262934299884364,t,3.166471099946648,None,728019,001,2024-11-20_22h36.51.892,delay discounting exp,2024.1.5,None,2024-11-20 22h37.35.259989 +0530,
78,80,162,1,1,8,6,37.290668699890375,,37.264468000037596,37.290668699890375,38.28077899990603,38.28077899990603,38.308185499859974,39.81215270003304,t,1.5141859001014382,None,728019,001,2024-11-20_22h36.51.892,delay discounting exp,2024.1.5,None,2024-11-20 22h37.35.259989 +0530,
27,50,21,1,2,9,2,39.8372750999406,,39.813928300049156,39.8372750999406,40.826890300028026,40.826890300028026,40.84282929985784,44.11489639990032,t,3.2703376000281423,None,728019,001,2024-11-20_22h36.51.892,delay discounting exp,2024.1.5,None,2024-11-20 22h37.35.259989 +0530,
49,60,89,1,3,10,4,44.148152800044045,,44.11770939989947,44.148152800044045,45.13056069985032,45.13056069985032,45.148684500018135,48.05937319993973,t,2.926636000163853,None,728019,001,2024-11-20_22h36.51.892,delay discounting exp,2024.1.5,None,2024-11-20 22h37.35.259989 +0530,
40,55,62,1,4,11,3,48.08007050002925,,48.06098629999906,48.08007050002925,49.07478839997202,49.07478839997202,49.09030000003986,50.857875199988484,t,1.768752200063318,None,728019,001,2024-11-20_22h36.51.892,delay discounting exp,2024.1.5,None,2024-11-20 22h37.35.259989 +0530,
11,30,7,1,5,12,0,50.8741810999345,,50.85872609983198,50.8741810999345,51.859532800037414,51.859532800037414,51.874446799978614,55.392379799857736,l,3.5271028999704868,None,728019,001,2024-11-20_22h36.51.892,delay discounting exp,2024.1.5,None,2024-11-20 22h37.35.259989 +0530,
15,35,13,1,6,13,1,55.417045400012285,,55.3941605000291,55.417045400012285,56.40757859987207,56.40757859987207,56.42335609998554,60.02397900004871,l,3.6033173000905663,None,728019,001,2024-11-20_22h36.51.892,delay discounting exp,2024.1.5,None,2024-11-20 22h37.35.259989 +0530,
67,75,119,2,0,14,5,60.0495167998597,,60.02570199989714,60.0495167998597,61.03814339987002,61.03814339987002,61.05481959995814,67.6233425999526,t,6.5762328000273556,None,728019,001,2024-11-20_22h36.51.892,delay discounting exp,2024.1.5,None,2024-11-20 22h37.35.259989 +0530,
11,30,7,2,1,15,0,67.64891409990378,,67.62539880000986,67.64891409990378,68.63781609991565,68.63781609991565,68.6535723998677,70.02180139999837,l,1.3668376000132412,None,728019,001,2024-11-20_22h36.51.892,delay discounting exp,2024.1.5,None,2024-11-20 22h37.35.259989 +0530,
49,60,89,2,2,16,4,70.04666889994405,,70.02359150000848,70.04666889994405,71.03645520005375,71.03645520005375,71.05238959984854,73.8707957000006,t,2.823736499994993,None,728019,001,2024-11-20_22h36.51.892,delay discounting exp,2024.1.5,None,2024-11-20 22h37.35.259989 +0530,
15,35,13,2,3,17,1,73.89554880000651,,73.87252589990385,73.89554880000651,74.88506660005078,74.88506660005078,74.90152159985155,75.88711979985237,l,0.9951559999026358,None,728019,001,2024-11-20_22h36.51.892,delay discounting exp,2024.1.5,None,2024-11-20 22h37.35.259989 +0530,
78,80,162,2,4,18,6,75.9126170000527,,75.88888569991104,75.9126170000527,76.9003641998861,76.9003641998861,76.91716049984097,82.06819060002454,t,5.161189100006595,None,728019,001,2024-11-20_22h36.51.892,delay discounting exp,2024.1.5,None,2024-11-20 22h37.35.259989 +0530,
40,55,62,2,5,19,3,82.09013489983045,,82.06964939995669,82.09013489983045,83.07737659988925,83.07737659988925,83.09669909998775,84.75175349996425,t,1.6648758000228554,None,728019,001,2024-11-20_22h36.51.892,delay discounting exp,2024.1.5,None,2024-11-20 22h37.35.259989 +0530,
27,50,21,2,6,20,2,84.78618919989094,,84.7534836998675,84.78618919989094,85.76582639990374,85.76582639990374,85.79894279991277,86.91766879986972,l,1.1388526000082493,None,728019,001,2024-11-20_22h36.51.892,delay discounting exp,2024.1.5,None,2024-11-20 22h37.35.259989 +0530,
49,60,89,3,0,21,4,86.95243979990482,,86.92043589986861,86.95243979990482,87.93192270002328,87.93192270002328,87.96494390000589,89.91723909997381,t,1.9822025999892503,None,728019,001,2024-11-20_22h36.51.892,delay discounting exp,2024.1.5,None,2024-11-20 22h37.35.259989 +0530,
40,55,62,3,1,22,3,89.9409321998246,,89.91890949988738,89.9409321998246,90.93306909990497,90.93306909990497,90.95041189994663,92.10053219995461,t,1.1586911999620497,None,728019,001,2024-11-20_22h36.51.892,delay discounting exp,2024.1.5,None,2024-11-20 22h37.35.259989 +0530,
